| Lemma   | Context                                             | Label                                      |
| plan    | The meticulously crafted plan, developed by the experienced team, ensured a seamless and successful product launch.          | Synset('plan.n.01')                       |
| plan    | The comprehensive business plan outlined strategies for growth, attracting investors with its clarity and vision.        | Synset('plan.n.01')                       |
| plan    | Collaborative planning among team members led to the execution of a well-thought-out plan, resulting in increased efficiency.      |   Synset('plan.n.01')                 |
| plan      | The strategic marketing plan boosted sales and expanded the customer base, exceeding initial expectations.     | Synset('plan.n.01')                    |
| plan      | The carefully devised retirement plan provided financial security and peace of mind for the future.        | Synset('plan.n.01')                      |
| plan      | The project required a detailed plan for implementation, covering all aspects from design to execution.        | Synset('plan.n.02')           |
| plan      | Having a contingency plan is essential in uncertain situations, ensuring readiness for unexpected challenges.      | Synset('plan.n.02')                        |
| plan     | The lesson plan for the academic term covered a variety of educational topics, meeting curriculum requirements.       | Synset('plan.n.02')                        |
| plan      | The urban development plan aimed to address infrastructure needs and improve the quality of life in the city.        |    Synset('plan.n.02')                        |
| plan      | The marketing plan outlined the company's objectives and strategies for reaching the target audience.       | Synset('plan.n.02')                      |
| plan      | The flawed plan, hastily put together without considering potential risks, resulted in project delays and dissatisfaction.        | Synset('plan.n.03')                        |
| plan      | Ignoring critical details in the operational plan led to a series of errors and financial losses for the organization.   |  Synset('plan.n.03')                        | 
| plan      | The inadequate emergency response plan failed to address potential safety issues during the crisis.  | Synset('plan.n.03')   |
| plan     | A poorly executed marketing plan led to a decline in brand reputation and a loss of customer trust.  |   Synset('plan.n.03')  |
| plan     | The outdated business plan failed to adapt to market changes, contributing to the company's decline.   | Synset('plan.n.03')   |
| plan      | The flawed plan, hastily put together without considering potential risks, resulted in project delays and dissatisfaction.     | Synset('plan.n.03')                        |
| climate | The mild climate of the coastal region made it an ideal destination for year-round outdoor activities.   | Synset('climate.n.01')                     |
| climate | A sunny climate contributed to a cheerful atmosphere, lifting the spirits of the residents.   | Synset('climate.n.01')                    |
| climate | The temperate climate of the mountainous area provided a picturesque backdrop for the quaint village.    | Synset('climate.n.01')                      |
| climate | A pleasant and predictable climate attracted tourists to the tropical paradise for relaxing vacations.   |         Synset('climate.n.01')               |
| climate | The Mediterranean climate created optimal conditions for cultivating a variety of crops.     | Synset('climate.n.01')                       |
| climate |Scientists study the climate to understand weather patterns and their impact on the environment.       |  Synset('climate.n.02')                    |
| climate | Climate data is crucial for environmental research, helping researchers analyze long-term trends.         |   Synset('climate.n.02')                  |
| climate | The region experiences a temperate climate with distinct seasons, influencing local flora and fauna.        |  Synset('climate.n.02')                 |
| climate | Climate fluctuations can impact ecosystems, requiring adaptive strategies for conservation.        |  Synset('climate.n.02')                    |
| climate | The climate in this area is characterized by its distinct weather conditions throughout the year.        |  Synset('climate.n.02')                     |
| climate | Extreme weather events are indicative of a changing climate, posing challenges for disaster preparedness.    |  Synset('climate.n.03')                   |
| climate | The harsh climate in the desert makes survival challenging for both wildlife and human populations.        | Synset('climate.n.03')                     |
